sn,sample,set_time,gut,storage,cq,log,dna_amt,dna_c_n,log_dna_c_n
101,6h.11,6,Empty,Ethanol only,31.68301375,-9.375705145,4.63E-10,4.538703895,0.65693185
102,6h.12,6,Partially full,Ethanol only,25.64110055,-6.925419964,1.27E-07,1248.883746,3.096522013
103,6h.13,6,Empty (with specks),Ethanol only,NaN,NA,NA,NA,NA
104,6h.14,6,Empty,Ethanol only,33.02928675,-9.92168333,1.32E-10,1.298185501,0.113336754
105,6h.15,6,Partially full,Ethanol only,25.51443556,-6.874051246,1.43E-07,1404.968271,3.147666517
106,6h.16,6,Empty,Ethanol only,32.55708538,-9.730183055,2.05E-10,2.013729663,0.304001167
107,6h.17,6,Empty,Ethanol only,35.7072044,-11.00770719,1.10E-11,0.107659702,-0.967946826
108,6h.18,6,Full,Ethanol only,23.64498855,-6.115900943,8.14E-07,7989.279985,3.902507641
109,10h.01,10,Empty,Ethanol + Freeze,34.27363642,-10.42632672,4.16E-11,0.408221652,-0.389103964
110,10h.02,10,Partially full,Ethanol + Freeze,27.74857053,-7.780099978,1.79E-08,176.0242535,2.245572511
111,10h.03,10,Empty (with specks),Ethanol + Freeze,33.07863061,-9.941694626,1.26E-10,1.239974642,0.093412804
112,10h.04,10,Partially full,Ethanol + Freeze,21.04886739,-5.063049474,9.10E-06,89281.9401,4.950763619
113,10h.05,10,Partially full,Ethanol + Freeze,2.96744054,NA,NA,NA,NA
114,10h.06,10,Partially full,Ethanol + Freeze,2.404510963,NA,NA,NA,NA
115,10h.07,10,Empty,Ethanol + Freeze,32.62790377,-9.758903305,1.92E-10,1.885412041,0.275406276
116,10h.08,10,Partially full,Ethanol + Freeze,30.56927115,-8.924029179,1.30E-09,12.78310448,1.106636338
117,10h.09,10,Full,Ethanol + Freeze,23.20279714,-5.93657115,1.23E-06,12051.87712,4.081054695
118,10h.10,10,Partially full,Ethanol only,24.6664687,-6.530160068,3.15E-07,3090.698752,3.490056677
119,10h.11,10,Empty,Ethanol only,35.12499801,-10.77159462,1.89E-11,0.184984424,-0.732864837
120,10h.12,10,Partially full,Ethanol only,25.75436724,-6.971355033,1.15E-07,1124.05469,3.050787442
121,10h.13,10,Partially full,Ethanol only,30.06759322,-8.720574749,2.08E-09,20.37993195,1.30920273
122,10h.14,10,Partially full,Ethanol only,31.44763389,-9.280247341,5.76E-10,5.649018531,0.751972999
123,10h.15,10,Full,Ethanol only,3.096982774,NA,NA,NA,NA
124,10h.16,10,Full,Ethanol only,25.0791613,-6.697526685,2.15E-07,2105.816785,3.323420583
